Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
881,20,0,60.0,7024,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2005,2006,0,0,0,0,0,0.0,0,0,0,0,0,0,0,980,0,0,110,1090,0,0,0,0,1090,0,0,1090,1,0,1,1,2,1,0,5,0,0,0,0,2005.0,0,2,450,0,0,0,0,49,0,0,0,0,0,0,0,0,6,2007,0,0,157000
606,60,0,85.0,13600,0,0,0,0,0,0,0,1,0,0,0,1,7,6,1965,1990,0,0,1,1,1,176.0,0,0,1,1,1,0,1,454,0,0,314,768,0,1,0,0,1186,800,0,1986,0,0,2,1,3,1,0,7,0,3,1,0,1965.0,1,2,486,0,0,0,0,42,0,0,189,0,0,0,0,0,10,2009,0,0,205000
1167,20,0,64.0,10475,0,0,1,0,0,1,0,2,0,0,0,0,8,5,2008,2008,0,0,0,0,2,72.0,1,0,0,2,1,1,2,0,0,0,1694,1694,0,2,0,0,1694,0,0,1694,0,0,2,0,3,1,1,7,0,0,0,0,2008.0,2,3,776,0,0,0,160,33,0,0,0,0,0,0,0,0,2,2010,0,0,245350
217,20,0,65.0,8450,0,0,0,0,0,0,0,2,0,0,0,0,7,5,2004,2004,0,0,0,0,1,266.0,1,0,0,2,1,2,3,946,0,0,490,1436,0,2,0,0,1436,0,0,1436,1,0,2,0,3,1,1,8,0,0,0,0,2004.0,1,2,484,0,0,0,139,98,0,0,0,0,0,0,0,0,4,2008,0,0,210000
971,50,0,60.0,10800,0,0,0,0,0,0,0,1,0,0,0,2,4,4,1949,1950,0,0,2,2,0,0.0,0,0,1,1,1,0,2,0,0,0,720,720,0,1,1,1,720,472,0,1192,0,0,1,1,4,1,0,6,0,0,0,1,1980.0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,2006,0,1,135000
1037,20,0,89.0,12898,0,0,1,1,0,0,0,3,0,0,0,0,9,5,2007,2008,1,0,0,0,2,70.0,1,0,0,0,1,3,3,1022,0,0,598,1620,0,2,0,0,1620,0,0,1620,1,0,2,0,2,1,2,6,0,1,2,0,2008.0,0,3,912,0,0,0,228,0,0,0,0,0,0,0,0,0,9,2009,0,0,315500
983,20,0,43.0,3182,0,0,0,0,0,0,0,4,0,0,0,0,7,5,2007,2007,0,0,0,0,1,16.0,1,0,0,2,1,1,2,0,0,0,1266,1266,0,2,0,0,1266,0,0,1266,0,0,2,0,2,1,1,6,0,1,3,0,2007.0,0,2,388,0,0,0,100,16,0,0,0,0,0,0,0,0,3,2008,0,0,159895
1059,60,0,96.0,11308,0,0,1,0,0,0,0,5,0,0,0,1,9,5,2008,2008,0,0,0,0,2,154.0,2,0,0,0,1,1,3,936,0,0,168,1104,0,2,0,0,1130,1054,0,2184,1,0,2,1,3,1,2,10,0,1,3,0,2008.0,0,3,836,0,0,0,0,102,0,0,0,0,0,0,0,0,7,2009,0,0,335000
225,20,0,103.0,13472,0,0,0,0,0,0,0,5,0,0,0,0,10,5,2003,2003,1,0,0,0,1,922.0,2,0,0,0,1,3,3,56,0,0,2336,2392,0,2,0,0,2392,0,0,2392,0,0,2,0,3,1,2,8,0,1,2,0,2003.0,0,3,968,0,0,0,248,105,0,0,0,0,0,0,0,0,6,2009,0,0,386250
664,85,0,90.0,10012,0,0,0,0,0,0,0,0,0,0,0,3,4,5,1972,1972,0,0,3,3,0,0.0,0,0,1,2,1,1,1,920,1,180,38,1138,0,1,0,0,1181,0,0,1181,1,0,2,0,3,1,0,6,0,0,0,2,1974.0,2,2,588,0,0,0,0,0,180,0,0,0,0,1,0,0,4,2008,0,0,137500
42,20,0,115.0,16905,0,0,0,0,0,0,0,3,0,0,0,0,5,6,1959,1959,0,0,0,0,0,0.0,0,1,1,1,1,3,1,967,0,0,383,1350,0,0,0,0,1328,0,0,1328,0,1,1,1,2,1,0,5,0,2,3,0,1959.0,2,1,308,0,0,1,0,104,0,0,0,0,0,0,0,0,7,2007,0,0,170000
504,20,0,100.0,15602,0,0,1,0,0,0,0,6,0,0,0,0,7,8,1959,1997,0,0,4,4,0,0.0,0,0,1,1,1,0,0,1247,0,0,254,1501,0,1,0,0,1801,0,0,1801,1,0,2,0,1,1,0,6,0,2,4,0,1959.0,0,2,484,0,0,0,0,54,0,0,161,0,0,2,0,0,3,2010,0,0,289000
